gene_identifier_upper,canonical_transcript,main
ENST00000301071,ENST00000301071,True
ENSG00000167552,ENST00000301071,True
TUBA1A,ENST00000301071,True
TUBA3,ENST00000301071,False
B-ALPHA-1,ENST00000301071,False
FLJ25113,ENST00000301071,False
ENST00000296417,ENST00000296417,True
ENSG00000164032,ENST00000296417,True
H2AFZ,ENST00000296417,True
H2AZ,ENST00000296417,False
H2A.Z,ENST00000296417,False
ENST00000357194,ENST00000357194,True
ENSG00000109332,ENST00000357194,True
UBE2D3,ENST00000357194,True
UBCH5C,ENST00000357194,False
ENST00000344548,ENST00000344548,True
ENSG00000070831,ENST00000344548,True
CDC42,ENST00000344548,True
G25K,ENST00000344548,False
CDC42HS,ENST00000344548,False
ENST00000272298,ENST00000272298,True
ENSG00000143933,ENST00000272298,True
CALM2,ENST00000272298,True
PHKD,ENST00000272298,False
CAMII,ENST00000272298,False
ENST00000336023,ENST00000336023,True
ENSG00000123416,ENST00000336023,True
TUBA1B,ENST00000336023,True
K-ALPHA-1,ENST00000336023,False
ENST00000331789,ENST00000331789,True
ENSG00000075624,ENST00000331789,True
ACTB,ENST00000331789,True
ENST00000418115,ENST00000418115,True
ENSG00000067560,ENST00000418115,True
RHOA,ENST00000418115,True
ARH12,ENST00000418115,False
ARHA,ENST00000418115,False
RHOA,ENST00000418115,False
RHO12,ENST00000418115,False
RHOH12,ENST00000418115,False
ENST00000336812,ENST00000336812,True
ENSG00000109606,ENST00000336812,True
DHX15,ENST00000336812,True
DDX15,ENST00000336812,False
HRH2,ENST00000336812,False
DBP1,ENST00000336812,False
PRP43,ENST00000336812,False
PRPP43P,ENST00000336812,False
PRPF43,ENST00000336812,False
ENST00000481195,ENST00000481195,True
ENSG00000113575,ENST00000481195,True
PPP2CA,ENST00000481195,True
PP2CALPHA,ENST00000481195,False
ENST00000335508,ENST00000335508,True
ENSG00000115524,ENST00000335508,True
SF3B1,ENST00000335508,True
SAP155,ENST00000335508,False
SF3B155,ENST00000335508,False
PRPF10,ENST00000335508,False
PRP10,ENST00000335508,False
HSH155,ENST00000335508,False
ENST00000300249,ENST00000300249,True
ENSG00000166974,ENST00000300249,True
MAPRE2,ENST00000300249,True
RP1,ENST00000300249,False
EB1,ENST00000300249,False
EB2,ENST00000300249,False
ENST00000543796,ENST00000543796,True
ENSG00000132341,ENST00000543796,True
RAN,ENST00000543796,True
ARA24,ENST00000543796,False
TC4,ENST00000543796,False
GSP1,ENST00000543796,False
ENST00000300291,ENST00000300291,True
ENSG00000167005,ENST00000300291,True
NUDT21,ENST00000300291,True
CPSF5,ENST00000300291,False
CFIM25,ENST00000300291,False
ENST00000373493,ENST00000373493,True
ENSG00000162521,ENST00000373493,True
RBBP4,ENST00000373493,True
RBAP48,ENST00000373493,False
NURF55,ENST00000373493,False
ENST00000395366,ENST00000395366,True
ENSG00000213639,ENST00000395366,True
PPP1CB,ENST00000395366,True
PP1B,ENST00000395366,False
PP-1B,ENST00000395366,False
PP1BETA,ENST00000395366,False
ENST00000216252,ENST00000216252,True
ENSG00000100410,ENST00000216252,True
PHF5A,ENST00000216252,True
MGC1346,ENST00000216252,False
SF3B14B,ENST00000216252,False
INI,ENST00000216252,False
BK223H9.2,ENST00000216252,False
RDS3,ENST00000216252,False
SAP14B,ENST00000216252,False
ENST00000355621,ENST00000355621,True
ENSG00000186591,ENST00000355621,True
UBE2H,ENST00000355621,True
UBCH,ENST00000355621,False
UBC8,ENST00000355621,False
GID3,ENST00000355621,False
ENST00000327892,ENST00000327892,True
ENSG00000196230,ENST00000327892,True
TUBB,ENST00000327892,True
OK/SW-CL.56,ENST00000327892,False
MGC16435,ENST00000327892,False
M40,ENST00000327892,False
TUBB5,ENST00000327892,False
ENST00000258962,ENST00000258962,True
ENSG00000136450,ENST00000258962,True
SRSF1,ENST00000258962,True
SFRS1,ENST00000258962,False
ASF,ENST00000258962,False
SF2,ENST00000258962,False
SRP30A,ENST00000258962,False
SF2P33,ENST00000258962,False
MGC5228,ENST00000258962,False
ENST00000356142,ENST00000356142,True
ENSG00000136238,ENST00000356142,True
RAC1,ENST00000356142,True
TC-25,ENST00000356142,False
P21-RAC1,ENST00000356142,False
RAC-1,ENST00000356142,False
ENST00000393331,ENST00000393331,True
ENSG00000121067,ENST00000393331,True
SPOP,ENST00000393331,True
TEF2,ENST00000393331,False
BTBD32,ENST00000393331,False
ENST00000360541,ENST00000360541,True
ENSG00000120705,ENST00000360541,True
ETF1,ENST00000360541,True
SUP45L1,ENST00000360541,False
ERF1,ENST00000360541,False
ERF,ENST00000360541,False
ERF1,ENST00000360541,False
TB3-1,ENST00000360541,False
RF1,ENST00000360541,False
ENST00000356978,ENST00000356978,True
ENSG00000198668,ENST00000356978,True
CALM1,ENST00000356978,True
CALML2,ENST00000356978,False
CAMI,ENST00000356978,False
PHKD,ENST00000356978,False
DD132,ENST00000356978,False
ENST00000420696,ENST00000420696,True
ENSG00000185630,ENST00000420696,True
PBX1,ENST00000420696,True
ENST00000526683,ENST00000526683,True
ENSG00000179950,ENST00000526683,True
PUF60,ENST00000526683,True
FIR,ENST00000526683,False
SIAHBP1,ENST00000526683,False
ROBPI,ENST00000526683,False
ENST00000372435,ENST00000372435,True
ENSG00000147224,ENST00000372435,True
PRPS1,ENST00000372435,True
DFN2,ENST00000372435,False
CMTX5,ENST00000372435,False
DFNX1,ENST00000372435,False
ENST00000355803,ENST00000355803,True
ENSG00000103275,ENST00000355803,True
UBE2I,ENST00000355803,True
UBC9,ENST00000355803,False
ENST00000253363,ENST00000253363,True
ENSG00000131051,ENST00000253363,True
RBM39,ENST00000253363,True
RNPC2,ENST00000253363,False
CC1.3,ENST00000253363,False
HCC1,ENST00000253363,False
CAPER,ENST00000253363,False
FSAP59,ENST00000253363,False
ENST00000379887,ENST00000379887,True
ENSG00000166233,ENST00000379887,True
ARIH1,ENST00000379887,True
HARI,ENST00000379887,False
HHARI,ENST00000379887,False
UBCH7BP,ENST00000379887,False
ARI,ENST00000379887,False
ENST00000262238,ENST00000262238,True
ENSG00000100811,ENST00000262238,True
YY1,ENST00000262238,True
NF-E1,ENST00000262238,False
DELTA,ENST00000262238,False
UCRBP,ENST00000262238,False
YIN-YANG-1,ENST00000262238,False
INO80S,ENST00000262238,False
ENST00000272369,ENST00000272369,True
ENSG00000143995,ENST00000272369,True
MEIS1,ENST00000272369,True
ENST00000398733,ENST00000398733,True
ENSG00000131508,ENST00000398733,True
UBE2D2,ENST00000398733,True
UBCH5B,ENST00000398733,False
UBC4,ENST00000398733,False
ENST00000541182,ENST00000541182,True
ENSG00000143761,ENST00000541182,True
ARF1,ENST00000541182,True
ENST00000262494,ENST00000262494,True
ENSG00000087258,ENST00000262494,True
GNAO1,ENST00000262494,True
G-ALPHA-O,ENST00000262494,False
ENST00000373715,ENST00000373715,True
ENSG00000112081,ENST00000373715,True
SRSF3,ENST00000373715,True
SFRS3,ENST00000373715,False
SRP20,ENST00000373715,False
ENST00000369603,ENST00000369603,True
ENSG00000119953,ENST00000369603,True
SMNDC1,ENST00000369603,True
SPF30,ENST00000369603,False
SMNR,ENST00000369603,False
TDRD16C,ENST00000369603,False
ENST00000432329,ENST00000432329,True
ENSG00000118260,ENST00000432329,True
CREB1,ENST00000432329,True
ENST00000354534,ENST00000354534,True
ENSG00000196876,ENST00000354534,True
SCN8A,ENST00000354534,True
MED,ENST00000354534,False
NAV1.6,ENST00000354534,False
NACH6,ENST00000354534,False
PN4,ENST00000354534,False
CERIII,ENST00000354534,False
ENST00000308924,ENST00000308924,True
ENSG00000063244,ENST00000308924,True
U2AF2,ENST00000308924,True
U2AF65,ENST00000308924,False
ENST00000261427,ENST00000261427,True
ENSG00000078140,ENST00000261427,True
UBE2K,ENST00000261427,True
HIP2,ENST00000261427,False
HYPG,ENST00000261427,False
UBC1,ENST00000261427,False
ENST00000216225,ENST00000216225,True
ENSG00000100387,ENST00000216225,True
RBX1,ENST00000216225,True
ROC1,ENST00000216225,False
RNF75,ENST00000216225,False
BA554C12.1,ENST00000216225,False
ENST00000396981,ENST00000396981,True
ENSG00000132388,ENST00000396981,True
UBE2G1,ENST00000396981,True
UBE2G,ENST00000396981,False
UBC7,ENST00000396981,False
ENST00000373719,ENST00000373719,True
ENSG00000147162,ENST00000373719,True
OGT,ENST00000373719,True
O-GLCNAC,ENST00000373719,False
HRNT1,ENST00000373719,False
MGC22921,ENST00000373719,False
FLJ23071,ENST00000373719,False
ENST00000393232,ENST00000393232,True
ENSG00000106459,ENST00000393232,True
NRF1,ENST00000393232,True
EWG,ENST00000393232,False
ALPHA-PAL,ENST00000393232,False
ENST00000290378,ENST00000290378,True
ENSG00000159251,ENST00000290378,True
ACTC1,ENST00000290378,True
ACTC,ENST00000290378,False
CMD1R,ENST00000290378,False
ENST00000395957,ENST00000395957,True
ENSG00000164924,ENST00000395957,True
YWHAZ,ENST00000395957,True
YWHAD,ENST00000395957,False
KCIP-1,ENST00000395957,False
14-3-3-ZETA,ENST00000395957,False
ENST00000518156,ENST00000518156,True
ENSG00000006377,ENST00000518156,True
DLX6,ENST00000518156,True
ENST00000396172,ENST00000396172,True
ENSG00000198563,ENST00000396172,True
DDX39B,ENST00000396172,True
BAT1,ENST00000396172,False
D6S81E,ENST00000396172,False
UAP56,ENST00000396172,False
ENST00000373840,ENST00000373840,True
ENSG00000119396,ENST00000373840,True
RAB14,ENST00000373840,True
FBP,ENST00000373840,False
RAB-14,ENST00000373840,False
ENST00000458578,ENST00000458578,True
ENSG00000185651,ENST00000458578,True
UBE2L3,ENST00000458578,True
UBCH7,ENST00000458578,False
ENST00000254810,ENST00000254810,True
ENSG00000132475,ENST00000254810,True
H3F3B,ENST00000254810,True
H3.3B,ENST00000254810,False
ENST00000398376,ENST00000398376,True
ENSG00000070808,ENST00000398376,True
CAMK2A,ENST00000398376,True
CAMKA,ENST00000398376,False
KIAA0968,ENST00000398376,False
CAMKIINALPHA,ENST00000398376,False
ENST00000296526,ENST00000296526,True
ENSG00000120251,ENST00000296526,True
GRIA2,ENST00000296526,True
GLUR2,ENST00000296526,False
GLUA2,ENST00000296526,False
GLURB,ENST00000296526,False
ENST00000348513,ENST00000348513,True
ENSG00000073584,ENST00000348513,True
SMARCE1,ENST00000348513,True
BAF57,ENST00000348513,False
ENST00000520347,ENST00000520347,True
ENSG00000120963,ENST00000520347,True
ZNF706,ENST00000520347,True
HSPC038,ENST00000520347,False
ENST00000265354,ENST00000265354,True
ENSG00000112658,ENST00000265354,True
SRF,ENST00000265354,True
MCM1,ENST00000265354,False
ENST00000259818,ENST00000259818,True
ENSG00000137285,ENST00000259818,True
TUBB2B,ENST00000259818,True
MGC8685,ENST00000259818,False
DKFZP566F223,ENST00000259818,False
BA506K6.1,ENST00000259818,False
ENST00000382535,ENST00000382535,True
ENSG00000176165,ENST00000382535,True
FOXG1,ENST00000382535,True
FKHL2,ENST00000382535,False
FOXG1B,ENST00000382535,False
FKHL4,ENST00000382535,False
FKH2,ENST00000382535,False
FKHL1,ENST00000382535,False
FOXG1C,ENST00000382535,False
FKHL3,ENST00000382535,False
FOXG1A,ENST00000382535,False
HFK2,ENST00000382535,False
QIN,ENST00000382535,False
BF1,ENST00000382535,False
HFK1,ENST00000382535,False
HFK3,ENST00000382535,False
HBF-3,ENST00000382535,False
ENST00000261303,ENST00000261303,True
ENSG00000100764,ENST00000261303,True
PSMC1,ENST00000261303,True
S4,ENST00000261303,False
P56,ENST00000261303,False
ENST00000389554,ENST00000389554,True
ENSG00000136535,ENST00000389554,True
TBR1,ENST00000389554,True
ENST00000250495,ENST00000250495,True
ENSG00000129559,ENST00000250495,True
NEDD8,ENST00000250495,True
NEDD-8,ENST00000250495,False
ENST00000286639,ENST00000286639,True
ENSG00000156127,ENST00000286639,True
BATF,ENST00000286639,True
B-ATF,ENST00000286639,False
SFA-2,ENST00000286639,False
BATF1,ENST00000286639,False
ENST00000322644,ENST00000322644,True
ENSG00000181222,ENST00000322644,True
POLR2A,ENST00000322644,True
POLR2,ENST00000322644,False
POLRA,ENST00000322644,False
RPB1,ENST00000322644,False
ENST00000250559,ENST00000250559,True
ENSG00000127314,ENST00000250559,True
RAP1B,ENST00000250559,True
K-REV,ENST00000250559,False
RAL1B,ENST00000250559,False
DKFZP586H0723,ENST00000250559,False
ENST00000429205,ENST00000429205,True
ENSG00000161956,ENST00000429205,True
SENP3,ENST00000429205,True
DKFZP586K0919,ENST00000429205,False
SSP3,ENST00000429205,False
DKFZP762A152,ENST00000429205,False
SMT3IP1,ENST00000429205,False
ULP1,ENST00000429205,False
ENST00000320084,ENST00000320084,True
ENSG00000092199,ENST00000320084,True
HNRNPC,ENST00000320084,True
HNRPC,ENST00000320084,False
HNRNPC,ENST00000320084,False
ENST00000273064,ENST00000273064,True
ENSG00000144580,ENST00000273064,True
RQCD1,ENST00000273064,True
RCD1,ENST00000273064,False
RCD1+,ENST00000273064,False
CNOT9,ENST00000273064,False
CT129,ENST00000273064,False
ENST00000371558,ENST00000371558,True
ENSG00000077721,ENST00000371558,True
UBE2A,ENST00000371558,True
UBC2,ENST00000371558,False
HHR6A,ENST00000371558,False
RAD6A,ENST00000371558,False
ENST00000371553,ENST00000371553,True
ENSG00000176884,ENST00000371553,True
GRIN1,ENST00000371553,True
NMDAR1,ENST00000371553,False
GLUN1,ENST00000371553,False
ENST00000323963,ENST00000323963,True
ENSG00000156976,ENST00000323963,True
EIF4A2,ENST00000323963,True
EIF4F,ENST00000323963,False
DDX2B,ENST00000323963,False
EIF4A,ENST00000323963,False
BM-010,ENST00000323963,False
ENST00000315987,ENST00000315987,True
ENSG00000171385,ENST00000315987,True
KCND3,ENST00000315987,True
KV4.3,ENST00000315987,False
KSHIVB,ENST00000315987,False
ENST00000561208,ENST00000561208,True
ENSG00000134138,ENST00000561208,True
MEIS2,ENST00000561208,True
MRG1,ENST00000561208,False
HST18361,ENST00000561208,False
ENST00000263228,ENST00000263228,True
ENSG00000107341,ENST00000263228,True
UBE2R2,ENST00000263228,True
UBC3B,ENST00000263228,False
CDC34B,ENST00000263228,False
FLJ20419,ENST00000263228,False
MGC10481,ENST00000263228,False
ENST00000572621,ENST00000572621,True
ENSG00000174231,ENST00000572621,True
PRPF8,ENST00000572621,True
RP13,ENST00000572621,False
PRPC8,ENST00000572621,False
PRP8,ENST00000572621,False
HPRP8,ENST00000572621,False
SNRNP220,ENST00000572621,False
ENST00000439602,ENST00000439602,True
ENSG00000231500,ENST00000439602,True
RPS18,ENST00000439602,True
D6S218E,ENST00000439602,False
KE3,ENST00000439602,False
KE-3,ENST00000439602,False
HKE3,ENST00000439602,False
S18,ENST00000439602,False
ENST00000286548,ENST00000286548,True
ENSG00000156052,ENST00000286548,True
GNAQ,ENST00000286548,True
G-ALPHA-Q,ENST00000286548,False
GAQ,ENST00000286548,False
ENST00000410062,ENST00000410062,True
ENSG00000170035,ENST00000410062,True
UBE2E3,ENST00000410062,True
UBCH9,ENST00000410062,False
ENST00000515768,ENST00000515768,True
ENSG00000113712,ENST00000515768,True
CSNK1A1,ENST00000515768,True
CK1,ENST00000515768,False
CK1A,ENST00000515768,False
CK1ALPHA,ENST00000515768,False
CKIA,ENST00000515768,False
CKIALPHA,ENST00000515768,False
ENST00000271628,ENST00000271628,True
ENSG00000143368,ENST00000271628,True
SF3B4,ENST00000271628,True
SAP49,ENST00000271628,False
SF3B49,ENST00000271628,False
HSH49,ENST00000271628,False
ENST00000313117,ENST00000313117,True
ENSG00000115875,ENST00000313117,True
SRSF7,ENST00000313117,True
SFRS7,ENST00000313117,False
9G8,ENST00000313117,False
ZCRB2,ENST00000313117,False
HSSG1,ENST00000313117,False
AAG3,ENST00000313117,False
RBM37,ENST00000313117,False
ZCCHC20,ENST00000313117,False
ENST00000558170,ENST00000558170,True
ENSG00000169554,ENST00000558170,True
ZEB2,ENST00000558170,True
ZFHX1B,ENST00000558170,False
KIAA0569,ENST00000558170,False
SIP-1,ENST00000558170,False
SIP1,ENST00000558170,False
ENST00000265969,ENST00000265969,True
ENSG00000129159,ENST00000265969,True
KCNC1,ENST00000265969,True
KV3.1,ENST00000265969,False
ENST00000322213,ENST00000322213,True
ENSG00000072501,ENST00000322213,True
SMC1A,ENST00000322213,True
SMC1L1,ENST00000322213,False
DXS423E,ENST00000322213,False
KIAA0178,ENST00000322213,False
SB1.8,ENST00000322213,False
SMCB,ENST00000322213,False
ENST00000272217,ENST00000272217,True
ENSG00000143862,ENST00000272217,True
ARL8A,ENST00000272217,True
ARL10B,ENST00000272217,False
FLJ45195,ENST00000272217,False
GIE2,ENST00000272217,False
ENST00000356721,ENST00000356721,True
ENSG00000196470,ENST00000356721,True
SIAH1,ENST00000356721,True
HSIAH1,ENST00000356721,False
ENST00000447654,ENST00000447654,True
ENSG00000137309,ENST00000447654,True
HMGA1,ENST00000447654,True
HMGIY,ENST00000447654,False
ENST00000359462,ENST00000359462,True
ENSG00000197111,ENST00000359462,True
PCBP2,ENST00000359462,True
HNRPE2,ENST00000359462,False
HNRNP-E2,ENST00000359462,False
HNRNPE2,ENST00000359462,False
ENST00000435765,ENST00000435765,True
ENSG00000161057,ENST00000435765,True
PSMC2,ENST00000435765,True
MSS1,ENST00000435765,False
S7,ENST00000435765,False
NBLA10058,ENST00000435765,False
ENST00000221200,ENST00000221200,True
ENSG00000104756,ENST00000221200,True
KCTD9,ENST00000221200,True
FLJ20038,ENST00000221200,False
BTBD27,ENST00000221200,False
ENST00000274712,ENST00000274712,True
ENSG00000146007,ENST00000274712,True
ZMAT2,ENST00000274712,True
FLJ31121,ENST00000274712,False
HSNU23,ENST00000274712,False
SNU23,ENST00000274712,False
ENST00000371410,ENST00000371410,True
ENSG00000101882,ENST00000371410,True
NKAP,ENST00000371410,True
FLJ22626,ENST00000371410,False
ENST00000340384,ENST00000340384,True
ENSG00000188229,ENST00000340384,True
TUBB4B,ENST00000340384,True
TUBB2C,ENST00000340384,False
BETA2,ENST00000340384,False
ENST00000453386,ENST00000453386,True
ENSG00000136527,ENST00000453386,True
TRA2B,ENST00000453386,True
SFRS10,ENST00000453386,False
HTRA2-BETA,ENST00000453386,False
ENST00000609686,ENST00000609686,True
ENSG00000273079,ENST00000609686,True
GRIN2B,ENST00000609686,True
ENST00000375859,ENST00000375859,True
ENSG00000106723,ENST00000375859,True
SPIN1,ENST00000375859,True
SPIN,ENST00000375859,False
ENST00000292807,ENST00000292807,True
ENSG00000161203,ENST00000292807,True
AP2M1,ENST00000292807,True
CLAPM1,ENST00000292807,False
AP50,ENST00000292807,False
MU2,ENST00000292807,False
ENST00000371741,ENST00000371741,True
ENSG00000158445,ENST00000371741,True
KCNB1,ENST00000371741,True
KV2.1,ENST00000371741,False
ENST00000361804,ENST00000361804,True
ENSG00000108055,ENST00000361804,True
SMC3,ENST00000361804,True
CSPG6,ENST00000361804,False
HCAP,ENST00000361804,False
BAM,ENST00000361804,False
SMC3L1,ENST00000361804,False
BAMACAN,ENST00000361804,False
ENST00000342295,ENST00000342295,True
ENSG00000168214,ENST00000342295,True
RBPJ,ENST00000342295,True
IGKJRB1,ENST00000342295,False
RBPSUH,ENST00000342295,False
SUH,ENST00000342295,False
IGKJRB,ENST00000342295,False
RBPJK,ENST00000342295,False
KBF2,ENST00000342295,False
RBP-J,ENST00000342295,False
CBF1,ENST00000342295,False
ENST00000289104,ENST00000289104,True
ENSG00000158186,ENST00000289104,True
MRAS,ENST00000289104,True
M-RAS,ENST00000289104,False
R-RAS3,ENST00000289104,False
RRAS3,ENST00000289104,False
ENST00000261479,ENST00000261479,True
ENSG00000100902,ENST00000261479,True
PSMA6,ENST00000261479,True
IOTA,ENST00000261479,False
PROS27,ENST00000261479,False
P27K,ENST00000261479,False
MGC22756,ENST00000261479,False
MGC2333,ENST00000261479,False
MGC23846,ENST00000261479,False
ENST00000278174,ENST00000278174,True
ENSG00000148925,ENST00000278174,True
BTBD10,ENST00000278174,True
GMRP1,ENST00000278174,False
GMRP-1,ENST00000278174,False
MGC13007,ENST00000278174,False
ENST00000290158,ENST00000290158,True
ENSG00000108424,ENST00000290158,True
KPNB1,ENST00000290158,True
NTF97,ENST00000290158,False
IPOB,ENST00000290158,False
MGC2155,ENST00000290158,False
MGC2156,ENST00000290158,False
MGC2157,ENST00000290158,False
IMB1,ENST00000290158,False
IMPNB,ENST00000290158,False
IPO1,ENST00000290158,False
ENST00000368648,ENST00000368648,True
ENSG00000108001,ENST00000368648,True
EBF3,ENST00000368648,True
COE3,ENST00000368648,False
DKFZP667B0210,ENST00000368648,False
ENST00000407818,ENST00000407818,True
ENSG00000068796,ENST00000407818,True
KIF2A,ENST00000407818,True
KIF2,ENST00000407818,False
HK2,ENST00000407818,False
ENST00000314940,ENST00000314940,True
ENSG00000177733,ENST00000314940,True
HNRNPA0,ENST00000314940,True
HNRPA0,ENST00000314940,False
HNRNPA0,ENST00000314940,False
ENST00000269122,ENST00000269122,True
ENSG00000141367,ENST00000269122,True
CLTC,ENST00000269122,True
CLTCL2,ENST00000269122,False
HC,ENST00000269122,False
ENST00000263967,ENST00000263967,True
ENSG00000121879,ENST00000263967,True
PIK3CA,ENST00000263967,True
PI3K,ENST00000263967,False
ENST00000295101,ENST00000295101,True
ENSG00000162989,ENST00000295101,True
KCNJ3,ENST00000295101,True
KIR3.1,ENST00000295101,False
GIRK1,ENST00000295101,False
KGA,ENST00000295101,False
ENST00000265437,ENST00000265437,True
ENSG00000004866,ENST00000265437,True
ST7,ENST00000265437,True
FAM4A1,ENST00000265437,False
TSG7,ENST00000265437,False
SEN4,ENST00000265437,False
ETS7Q,ENST00000265437,False
HELG,ENST00000265437,False
RAY1,ENST00000265437,False
FAM4A,ENST00000265437,False
ENST00000316509,ENST00000316509,True
ENSG00000220205,ENST00000316509,True
VAMP2,ENST00000316509,True
SYB2,ENST00000316509,False
VAMP-2,ENST00000316509,False
ENST00000168216,ENST00000168216,True
ENSG00000072506,ENST00000168216,True
HSD17B10,ENST00000168216,True
HADH2,ENST00000168216,False
MRXS10,ENST00000168216,False
ERAB,ENST00000168216,False
MHBD,ENST00000168216,False
17B-HSD10,ENST00000168216,False
ABAD,ENST00000168216,False
SDR5C1,ENST00000168216,False
MRPP2,ENST00000168216,False
CAMR,ENST00000168216,False
ENST00000256078,ENST00000256078,True
ENSG00000133703,ENST00000256078,True
KRAS,ENST00000256078,True
KRAS2,ENST00000256078,False
KRAS1,ENST00000256078,False
ENST00000367549,ENST00000367549,True
ENSG00000135829,ENST00000367549,True
DHX9,ENST00000367549,True
LKP,ENST00000367549,False
DDX9,ENST00000367549,False
RHA,ENST00000367549,False
ENST00000357008,ENST00000357008,True
ENSG00000111642,ENST00000357008,True
CHD4,ENST00000357008,True
MI-2B,ENST00000357008,False
MI2-BETA,ENST00000357008,False
ENST00000445930,ENST00000445930,True
ENSG00000100519,ENST00000445930,True
PSMC6,ENST00000445930,True
P42,ENST00000445930,False
ENST00000417098,ENST00000417098,True
ENSG00000119042,ENST00000417098,True
SATB2,ENST00000417098,True
KIAA1034,ENST00000417098,False
FLJ21474,ENST00000417098,False
ENST00000450189,ENST00000450189,True
ENSG00000048740,ENST00000450189,True
CELF2,ENST00000450189,True
CUGBP2,ENST00000450189,False
ETR-3,ENST00000450189,False
NAPOR-2,ENST00000450189,False
BRUNOL3,ENST00000450189,False
ENST00000356464,ENST00000356464,True
ENSG00000197728,ENST00000356464,True
RPS26,ENST00000356464,True
S26,ENST00000356464,False
ENST00000403359,ENST00000403359,True
ENSG00000138081,ENST00000403359,True
FBXO11,ENST00000403359,True
FBX11,ENST00000403359,False
PRMT9,ENST00000403359,False
UBR6,ENST00000403359,False
ENST00000356731,ENST00000356731,True
ENSG00000169045,ENST00000356731,True
HNRNPH1,ENST00000356731,True
HNRPH1,ENST00000356731,False
HNRNPH,ENST00000356731,False
ENST00000361099,ENST00000361099,True
ENSG00000115415,ENST00000361099,True
STAT1,ENST00000361099,True
STAT91,ENST00000361099,False
ISGF-3,ENST00000361099,False
ENST00000519065,ENST00000519065,True
ENSG00000196591,ENST00000519065,True
HDAC2,ENST00000519065,True
RPD3,ENST00000519065,False
YAF1,ENST00000519065,False
ENST00000327111,ENST00000327111,True
ENSG00000175745,ENST00000327111,True
NR2F1,ENST00000327111,True
ERBAL3,ENST00000327111,False
TFCOUP1,ENST00000327111,False
EAR-3,ENST00000327111,False
COUP-TFI,ENST00000327111,False
TCFCOUP1,ENST00000327111,False
SVP44,ENST00000327111,False
ENST00000379607,ENST00000379607,True
ENSG00000173674,ENST00000379607,True
EIF1AX,ENST00000379607,True
EIF4C,ENST00000379607,False
EIF1A,ENST00000379607,False
EIF-1A,ENST00000379607,False
EIF-4C,ENST00000379607,False
ENST00000310144,ENST00000310144,True
ENSG00000087191,ENST00000310144,True
PSMC5,ENST00000310144,True
SUG1,ENST00000310144,False
P45/SUG,ENST00000310144,False
TBP10,ENST00000310144,False
P45,ENST00000310144,False
S8,ENST00000310144,False
TRIP1,ENST00000310144,False
SUG-1,ENST00000310144,False
ENST00000253023,ENST00000253023,True
ENSG00000130725,ENST00000253023,True
UBE2M,ENST00000253023,True
HUBC12,ENST00000253023,False
UBC12,ENST00000253023,False
ENST00000293831,ENST00000293831,True
ENSG00000161960,ENST00000293831,True
EIF4A1,ENST00000293831,True
EIF4A,ENST00000293831,False
DDX2A,ENST00000293831,False
EIF-4A,ENST00000293831,False
ENST00000354828,ENST00000354828,True
ENSG00000154727,ENST00000354828,True
GABPA,ENST00000354828,True
E4TF1A,ENST00000354828,False
NFT2,ENST00000354828,False
NRF2,ENST00000354828,False
E4TF1-60,ENST00000354828,False
NRF2A,ENST00000354828,False
ENST00000215832,ENST00000215832,True
ENSG00000100030,ENST00000215832,True
MAPK1,ENST00000215832,True
PRKM2,ENST00000215832,False
PRKM1,ENST00000215832,False
ERK,ENST00000215832,False
ERK2,ENST00000215832,False
P41MAPK,ENST00000215832,False
MAPK2,ENST00000215832,False
ENST00000300413,ENST00000300413,True
ENSG00000167088,ENST00000300413,True
SNRPD1,ENST00000300413,True
SNRPD,ENST00000300413,False
HST2456,ENST00000300413,False
SM-D1,ENST00000300413,False
ENST00000361337,ENST00000361337,True
ENSG00000198900,ENST00000361337,True
TOP1,ENST00000361337,True
ENST00000382545,ENST00000382545,True
ENSG00000111262,ENST00000382545,True
KCNA1,ENST00000382545,True
AEMK,ENST00000382545,False
KV1.1,ENST00000382545,False
RBK1,ENST00000382545,False
HUK1,ENST00000382545,False
MBK1,ENST00000382545,False
ENST00000240185,ENST00000240185,True
ENSG00000120948,ENST00000240185,True
TARDBP,ENST00000240185,True
TDP-43,ENST00000240185,False
ALS10,ENST00000240185,False
ENST00000534624,ENST00000534624,True
ENSG00000109971,ENST00000534624,True
HSPA8,ENST00000534624,True
HSPA10,ENST00000534624,False
HSC71,ENST00000534624,False
HSC70,ENST00000534624,False
HSP73,ENST00000534624,False
ENST00000397954,ENST00000397954,True
ENSG00000114062,ENST00000397954,True
UBE3A,ENST00000397954,True
EPVE6AP,ENST00000397954,False
HPVE6A,ENST00000397954,False
AS,ENST00000397954,False
ANCR,ENST00000397954,False
E6-AP,ENST00000397954,False
FLJ26981,ENST00000397954,False
ENST00000405805,ENST00000405805,True
ENSG00000189403,ENST00000405805,True
HMGB1,ENST00000405805,True
HMG1,ENST00000405805,False
HMG3,ENST00000405805,False
SBP-1,ENST00000405805,False
DKFZP686A04236,ENST00000405805,False
ENST00000371470,ENST00000371470,True
ENSG00000162385,ENST00000371470,True
MAGOH,ENST00000371470,True
MAGOHA,ENST00000371470,False
MAGOH1,ENST00000371470,False
ENST00000276893,ENST00000276893,True
ENSG00000147854,ENST00000276893,True
UHRF2,ENST00000276893,True
RNF107,ENST00000276893,False
NIRF,ENST00000276893,False
